Feature,Estimator,AUC,AUC_best,Accuracy,Accuracy_best,F1,F1_best,Precision,Precision_best,Recall,Recall_best
age : cholesterol : exercise_induced_angina,random_forest,0,0,0.670344827586207,"{'max_features': 'sqrt', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 20}",0,0,0,0,0,0
age : cholesterol : st_depression,linear,0,0,0.16650613302385228,{'normalize': False},0,0,0,0,0,0
age : cholesterol : st_depression,knn,0,0,0.6735632183908046,"{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}",0,0,0,0,0,0
age : cholesterol : st_depression,logistic,0,0,0.6834482758620689,"{'penalty': 'l1', 'solver': 'liblinear'}",0,0,0,0,0,0
age : cholesterol : st_depression,gaussian,0,0,0.6936781609195402,{},0,0,0,0,0,0
age : cholesterol : st_depression,svc,0,0,0.6968965517241379,"{'C': 100, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}",0,0,0,0,0,0
age : cholesterol : st_depression,decision_tree,0,0,0.6022988505747127,"{'max_features': 'sqrt', 'max_leaf_nodes': 25, 'max_depth': 15}",0,0,0,0,0,0
age : cholesterol : st_depression,random_forest,0,0,0.6026436781609196,"{'max_features': 'log2', 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 10}",0,0,0,0,0,0
age : cholesterol : num_major_vessels,linear,0,0,0.1852924814611735,{'normalize': True},0,0,0,0,0,0
age : cholesterol : num_major_vessels,knn,0,0,0.7140229885057472,"{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 2}",0,0,0,0,0,0
age : cholesterol : num_major_vessels,logistic,0,0,0.7477011494252874,"{'penalty': 'l1', 'solver': 'lbfgs'}",0,0,0,0,0,0
age : cholesterol : num_major_vessels,gaussian,0,0,0.744367816091954,{},0,0,0,0,0,0
age : cholesterol : num_major_vessels,svc,0,0,0.7443678160919541,"{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}",0,0,0,0,0,0
