+-------------------------+---------------+------------------+----------------+----------------+----------------+----------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+
|         Feature         |   Estimator   |     Accuracy     |   Precision    |     Recall     |       F1       |      AUC       |                                        Accuracy_best                                         |                                        Precision_best                                        |                                         Recall_best                                          |                                           F1_best                                            |                                           AUC_best                                           |
|        resting_bp       |      svc      |  0.558922558923  | 0.558922558923 | 0.558922558923 | 0.558922558923 | 0.558922558923 |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |        {'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}         |
|        resting_bp       | decision_tree |  0.548821548822  | 0.548821548822 | 0.548821548822 | 0.548821548822 | 0.548821548822 |                {'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 20, 'max_depth': 5}                |
|        resting_bp       | random_forest |  0.592592592593  | 0.592592592593 | 0.592592592593 | 0.592592592593 | 0.592592592593 |       {'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'log2', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |
|       cholesterol       |     linear    | 0.00663578230957 |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': True}                                      |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|       cholesterol       |      knn      |  0.569023569024  | 0.569023569024 | 0.569023569024 | 0.569023569024 | 0.569023569024 |   {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |
|       cholesterol       |    logistic   |  0.545454545455  | 0.545454545455 | 0.545454545455 | 0.545454545455 | 0.545454545455 |                           {'penalty': 'l2', 'solver': 'liblinear'}                           |                           {'penalty': 'l2', 'solver': 'liblinear'}                           |                           {'penalty': 'l2', 'solver': 'liblinear'}                           |                           {'penalty': 'l2', 'solver': 'liblinear'}                           |                           {'penalty': 'l2', 'solver': 'liblinear'}                           |
|       cholesterol       |    gaussian   |  0.511784511785  | 0.511784511785 | 0.511784511785 | 0.511784511785 | 0.511784511785 |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |
|       cholesterol       |      svc      |  0.575757575758  | 0.575757575758 | 0.575757575758 | 0.575757575758 | 0.575757575758 |       {'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}        |       {'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}        |       {'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}        |       {'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}        |       {'C': 10, 'shrinking': True, 'gamma': 0.0001, 'degree': 1, 'probability': True}        |
|       cholesterol       | decision_tree |  0.558922558923  | 0.558922558923 | 0.558922558923 | 0.558922558923 | 0.558922558923 |                {'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}                |                {'max_features': 'auto', 'max_leaf_nodes': 30, 'max_depth': 5}                |
|       cholesterol       | random_forest |  0.599326599327  | 0.599326599327 | 0.599326599327 | 0.599326599327 | 0.599326599327 |      {'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}       |      {'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}       |      {'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}       |      {'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}       |      {'max_features': 'auto', 'max_leaf_nodes': 30, 'bootstrap': True, 'max_depth': 5}       |
